State,EPA Region,County,FIPS,Tract,Population,"1,3-Butadiene",Acetaldehyde,Aniline,Benzene,Ethylene Oxide,Formaldehyde,Naphthalene
NY,EPA Region 2,Bronx,36005,36005017902,3587,3.344074743,2.718106057,0,7.674560795,0.441667802,21.55431836,3.125996912
NY,EPA Region 2,Bronx,36005,36005018101,3300,3.48318763,2.744354552,0,7.808182359,0.434753218,21.69405393,3.123550943
NY,EPA Region 2,Bronx,36005,36005018102,5555,3.511096759,2.751849853,0,7.800187495,0.415543266,21.66367856,3.137437756
NY,EPA Region 2,Bronx,36005,36005018301,4525,3.650285984,2.788018894,0,7.720070845,0.292244226,21.77921622,3.089761554
NY,EPA Region 2,Bronx,36005,36005018302,3647,3.579447862,2.773415896,0,7.636032421,0.285432617,21.64727755,3.038861969
NY,EPA Region 2,Bronx,36005,36005018400,3855,3.232938003,2.611062567,0,7.222849664,0.535196938,20.08275442,2.766309844
NY,EPA Region 2,Bronx,36005,36005018500,7466,3.505256229,2.720296157,0,7.423595478,0.312644929,21.1244444,2.878039233
NY,EPA Region 2,Bronx,36005,36005018900,7752,3.590472533,2.779807814,0,7.598708324,0.287554302,21.56320361,3.064520132
NY,EPA Region 2,Bronx,36005,36005019300,5461,3.719751274,2.784723623,0,8.298615668,0.471815682,22.0037022,3.319480404
NY,EPA Region 2,Bronx,36005,36005019400,1903,3.115024566,2.592592071,0,7.013416688,0.531069157,19.98034743,2.690639918
NY,EPA Region 2,Bronx,36005,36005019500,7756,3.481533137,2.748411417,0,7.673374277,0.376097282,21.50886147,3.052095796
NY,EPA Region 2,Bronx,36005,36005019700,7501,3.349147039,2.713373306,0,7.684278925,0.460783475,21.44977018,3.095721615
NY,EPA Region 2,Bronx,36005,36005019900,8154,3.310707955,2.707099277,0,7.633787953,0.458462743,21.42040282,3.05968411
NY,EPA Region 2,Bronx,36005,36005020000,4878,3.152108103,2.599628181,0,7.082601079,0.509593968,20.08347276,2.725763121
NY,EPA Region 2,Bronx,36005,36005020100,4013,3.431728044,2.731311983,0,7.832490618,0.431000952,21.5165044,3.182800967
NY,EPA Region 2,Bronx,36005,36005020200,2155,3.068751689,2.585380067,0,6.884776873,0.494081834,19.95147301,2.661654488
NY,EPA Region 2,Bronx,36005,36005020400,2976,3.087645913,2.59510525,0,6.97316278,0.486809396,20.03530746,2.69169341
NY,EPA Region 2,Bronx,36005,36005020501,6996,3.684171718,2.779145768,0,8.221310974,0.404986877,21.8193017,3.356068471
NY,EPA Region 2,Bronx,36005,36005020502,1764,3.317483664,2.707613842,0,7.616740623,0.396951577,21.25169531,3.128713472
NY,EPA Region 2,Bronx,36005,36005020601,3050,3.157630712,2.605470838,0,7.046597281,0.494054875,20.18318693,2.730438863
NY,EPA Region 2,Bronx,36005,36005020900,4361,3.351760056,2.716861985,0,7.693244279,0.414743109,21.3769464,3.162533955
NY,EPA Region 2,Bronx,36005,36005021001,8521,3.121140994,2.600854336,0,6.960124221,0.480628011,20.16173488,2.704013001
NY,EPA Region 2,Bronx,36005,36005021002,6839,3.128853355,2.606445111,0,7.023787073,0.482328103,20.20888336,2.722133716
NY,EPA Region 2,Bronx,36005,36005021100,5565,3.34670581,2.713969915,0,7.666950812,0.436466976,21.39819526,3.133708951
NY,EPA Region 2,Bronx,36005,36005021200,5267,3.054214904,2.59355022,0,6.956205966,0.476471512,20.20476881,2.672217877
NY,EPA Region 2,Bronx,36005,36005021301,1201,3.552351349,2.763757734,0,8.111764578,0.410039763,21.74101252,3.300780502
NY,EPA Region 2,Bronx,36005,36005021302,5415,3.395731904,2.721936625,0,7.74113356,0.427736625,21.44593166,3.162739029
NY,EPA Region 2,Bronx,36005,36005021501,3506,3.344376147,2.720488239,0,7.719113207,0.404090926,21.35689492,3.163741473
NY,EPA Region 2,Bronx,36005,36005021502,6051,3.359272414,2.712960121,0,7.696367858,0.411070994,21.31324431,3.139650796
NY,EPA Region 2,Bronx,36005,36005021601,4206,3.082185329,2.600410079,0,7.020304806,0.486299714,20.31738046,2.723711956
NY,EPA Region 2,Bronx,36005,36005021602,5769,3.150729454,2.609758672,0,7.120189884,0.477348774,20.32398526,2.74182184
NY,EPA Region 2,Bronx,36005,36005021700,5334,3.677781917,2.785971196,0,8.330193856,0.427577034,21.91524596,3.410854608
NY,EPA Region 2,Bronx,36005,36005021800,6499,3.559292431,2.669074204,0,7.678076422,0.476323931,20.7590554,2.921453941
NY,EPA Region 2,Bronx,36005,36005021900,1367,3.416338359,2.726380603,0,7.78314301,0.432211997,21.51487422,3.177557605
NY,EPA Region 2,Bronx,36005,36005022000,1487,3.345132262,2.655973968,0,7.468812038,0.480701517,20.68197345,2.890269314
NY,EPA Region 2,Bronx,36005,36005022101,3849,3.363315424,2.723076413,0,7.770221008,0.432578097,21.48890702,3.146536985
NY,EPA Region 2,Bronx,36005,36005022102,5488,3.320796422,2.714492555,0,7.660954824,0.434820255,21.49494011,3.112908551
NY,EPA Region 2,Bronx,36005,36005022200,3425,3.10031998,2.5951685,0,6.948119971,0.474795178,20.16876694,2.67237516
NY,EPA Region 2,Bronx,36005,36005022300,5047,3.320154487,2.71051417,0,7.635185565,0.425397818,21.34126376,3.13531796
NY,EPA Region 2,Bronx,36005,36005022401,2708,3.220800999,2.614200913,0,7.16504059,0.473934886,20.13649314,2.760375004
NY,EPA Region 2,Bronx,36005,36005022403,3188,3.122123026,2.590574375,0,6.980195361,0.480667581,19.96231438,2.699066032
NY,EPA Region 2,Bronx,36005,36005022404,4509,3.08977853,2.593098644,0,7.001431922,0.469474027,20.03059959,2.70782269
NY,EPA Region 2,Bronx,36005,36005022500,7698,3.325212924,2.71138028,0,7.638303373,0.426803784,21.37371482,3.122017177
NY,EPA Region 2,Bronx,36005,36005022701,5196,3.253214222,2.693950503,0,7.509688732,0.44853577,21.16767002,3.097820206
NY,EPA Region 2,Bronx,36005,36005022702,1699,3.679456135,2.777052651,0,8.203256872,0.409578803,21.82311201,3.364914973
NY,EPA Region 2,Bronx,36005,36005022703,1556,3.755577386,2.78869731,0,8.305922652,0.411187336,21.93481095,3.406770027
NY,EPA Region 2,Bronx,36005,36005022800,6218,3.125364283,2.594959638,0,6.999148881,0.472124944,19.99438674,2.71422773
NY,EPA Region 2,Bronx,36005,36005022901,5370,3.608320065,2.763175063,0,8.131948685,0.453894667,21.62226247,3.294325241
NY,EPA Region 2,Bronx,36005,36005022902,3273,3.49988835,2.747881732,0,8.002619955,0.456957751,21.52903183,3.246754105
NY,EPA Region 2,Bronx,36005,36005023000,2950,3.124172815,2.600512745,0,7.040692669,0.473989753,20.10307735,2.739100051
NY,EPA Region 2,Bronx,36005,36005023100,1537,3.349017697,2.696393911,0,7.617931132,0.457407476,21.02886421,3.063310141
NY,EPA Region 2,Bronx,36005,36005023200,2661,3.131147375,2.605330251,0,7.080296403,0.481877323,20.16717383,2.752752422
NY,EPA Region 2,Bronx,36005,36005023301,4377,3.313717355,2.710273271,0,7.681794847,0.454956083,21.29346205,3.157430214
NY,EPA Region 2,Bronx,36005,36005023302,3415,3.27306562,2.683627928,0,7.486936973,0.457242535,20.95805619,3.024962058
NY,EPA Region 2,Bronx,36005,36005023501,3341,3.246413529,2.677574101,0,7.443196679,0.449335927,20.95140337,3.0189136
NY,EPA Region 2,Bronx,36005,36005023502,4386,3.290790214,2.691568797,0,7.583245672,0.450822066,21.01576879,3.057311956
NY,EPA Region 2,Bronx,36005,36005023600,1907,3.224012182,2.627546411,0,7.235515074,0.479422366,20.32861199,2.807477703
NY,EPA Region 2,Bronx,36005,36005023702,1241,3.125711512,2.639428363,0,7.204964401,0.459028736,20.45861145,2.858811502
NY,EPA Region 2,Bronx,36005,36005023703,5253,3.144191488,2.654067945,0,7.288827762,0.455085819,20.67123177,2.944194761
NY,EPA Region 2,Bronx,36005,36005023704,3758,3.235224208,2.677600757,0,7.432913581,0.451084672,20.92514041,3.019207065
NY,EPA Region 2,Bronx,36005,36005023800,2615,3.169670078,2.612374266,0,7.105390245,0.477478402,20.1899538,2.759239956
NY,EPA Region 2,Bronx,36005,36005023900,8348,3.213993739,2.677176249,0,7.44394434,0.448666281,20.89905594,3.032407978
NY,EPA Region 2,Bronx,36005,36005024000,3882,3.128992782,2.610274878,0,7.050106749,0.482984581,20.26734586,2.748228419
NY,EPA Region 2,Bronx,36005,36005024100,6182,3.313161939,2.70707235,0,7.623773172,0.446934362,21.2380332,3.127406706
NY,EPA Region 2,Bronx,36005,36005024300,5685,3.306071268,2.711392177,0,7.651219018,0.444473987,21.30001257,3.166371031
NY,EPA Region 2,Bronx,36005,36005024400,2120,3.079675113,2.594682438,0,7.003102088,0.477434198,19.99804196,2.698804901
NY,EPA Region 2,Bronx,36005,36005024501,4864,3.078869099,2.662825673,0,7.237270448,0.430882824,20.88592014,2.977467249
NY,EPA Region 2,Bronx,36005,36005024502,3640,3.222963,2.68444801,0,7.469068962,0.446007797,21.0955227,3.075257069
NY,EPA Region 2,Bronx,36005,36005024600,2058,3.071934084,2.586397856,0,6.942139447,0.473947415,19.95205929,2.68754161
NY,EPA Region 2,Bronx,36005,36005024700,1764,3.729499866,2.775086218,0,8.241209963,0.442835108,21.79427367,3.368855192
NY,EPA Region 2,Bronx,36005,36005024800,3363,3.074284715,2.585203112,0,6.911260966,0.481860529,19.90734888,2.67477571
NY,EPA Region 2,Bronx,36005,36005025000,2383,3.120400531,2.594664963,0,7.01567455,0.480124786,19.98883348,2.704611376
NY,EPA Region 2,Bronx,36005,36005025100,6802,3.279567476,2.701964885,0,7.600719015,0.444159036,21.22153876,3.129654969
NY,EPA Region 2,Bronx,36005,36005025200,2530,3.132808302,2.600398437,0,7.064749981,0.493988365,20.0730624,2.717147895
NY,EPA Region 2,Bronx,36005,36005025300,6332,3.233314376,2.678207129,0,7.451164856,0.452455133,20.96349775,3.064539473
NY,EPA Region 2,Bronx,36005,36005025400,1959,3.125912873,2.596327942,0,7.017886034,0.497463297,20.01491252,2.694917599
NY,EPA Region 2,Bronx,36005,36005025500,6529,3.303650501,2.699086185,0,7.540463004,0.440545071,21.10329327,3.118753501
NY,EPA Region 2,Bronx,36005,36005025600,1663,3.159256425,2.606142229,0,7.122678278,0.508774035,20.11262192,2.742559776
NY,EPA Region 2,Bronx,36005,36005025700,1912,3.64367532,2.758765541,0,8.015299238,0.434611291,21.63570886,3.290809426
NY,EPA Region 2,Bronx,36005,36005026100,1932,2.902548374,2.587361642,0,6.701565968,0.44373635,20.07819515,2.693080456
NY,EPA Region 2,Bronx,36005,36005026300,6984,3.160325101,2.646241084,0,7.215672233,0.449792612,20.55037533,2.926876858
NY,EPA Region 2,Bronx,36005,36005026400,4935,3.070739463,2.581280926,0,6.935659978,0.548657552,19.83782504,2.668223708
NY,EPA Region 2,Bronx,36005,36005026500,6942,3.140226641,2.627924562,0,7.163049624,0.453890566,20.35464981,2.85249443
NY,EPA Region 2,Bronx,36005,36005026601,2911,3.017107198,2.572921139,0,6.853299097,0.610150788,19.7871227,2.647185228
NY,EPA Region 2,Bronx,36005,36005026602,5301,3.121678408,2.592608908,0,7.057725978,0.553133143,19.92525421,2.711657108
NY,EPA Region 2,Bronx,36005,36005026701,4037,3.040517759,2.585053366,0,6.888564987,0.460418417,19.85528471,2.675782589
NY,EPA Region 2,Bronx,36005,36005026702,7040,2.916705284,2.550027425,0,6.575325522,0.468465126,19.5291293,2.550614816
NY,EPA Region 2,Bronx,36005,36005026900,3777,3.147277304,2.612972666,0,7.074840467,0.436112047,20.03260684,2.7424708
NY,EPA Region 2,Bronx,36005,36005027300,7942,3.220526933,2.601274265,0,7.034860729,0.447963987,19.86619451,2.707744481
NY,EPA Region 2,Bronx,36005,36005027401,4785,3.080469792,2.581794351,0,6.870265189,0.508427841,19.82981182,2.650366122
NY,EPA Region 2,Bronx,36005,36005027402,3386,3.0264756,2.580347138,0,6.8160638,0.486522539,19.74794203,2.664031146
NY,EPA Region 2,Bronx,36005,36005027600,473,3.283045659,2.598886675,0,7.102413009,0.510481548,19.83350803,2.751676768
NY,EPA Region 2,Bronx,36005,36005027700,5065,3.043830014,2.565821152,0,6.767611823,0.452442765,19.57551745,2.595804941
NY,EPA Region 2,Bronx,36005,36005027900,6966,3.231345438,2.578640522,0,6.900157462,0.497517952,19.61380226,2.620365227
NY,EPA Region 2,Bronx,36005,36005028100,3794,2.896512358,2.53560682,0,6.516537512,0.646553949,19.34142448,2.490463001
NY,EPA Region 2,Bronx,36005,36005028300,3149,3.2641378,2.584572934,0,6.97554853,0.445114554,19.7388319,2.641818925
NY,EPA Region 2,Bronx,36005,36005028400,894,3.413550352,2.624686877,0,7.334019402,0.559512039,20.13694766,2.804657338
NY,EPA Region 2,Bronx,36005,36005028500,3307,3.006258973,2.554195614,0,6.725206067,0.441674765,19.45052914,2.532751857
NY,EPA Region 2,Bronx,36005,36005028600,1191,3.064693464,2.582853636,0,6.917846905,0.521540495,19.99172211,2.670115344
NY,EPA Region 2,Bronx,36005,36005028700,3178,3.172197454,2.573168564,0,6.868568386,0.433094692,19.60572859,2.600569915
NY,EPA Region 2,Bronx,36005,36005028800,3097,3.048365169,2.578177118,0,6.851744013,0.48215742,19.7849578,2.643688578
NY,EPA Region 2,Bronx,36005,36005028900,4502,2.983688144,2.557231621,0,6.724015217,0.429692549,19.53619663,2.553943324
